pickup_hour,total_trips,avg_trip_distance_miles,avg_trip_duration_mins,total_revenue_usd
0,468651,3.25,11.95,7419483.74
1,354175,9.01,11.74,5520572.24
2,267287,3.22,11.64,4137542.17
3,197760,3.46,11.63,3158322.84
4,142727,4.03,11.86,2547186.3
5,126947,4.53,11.43,2472791.95
6,267709,4.05,10.75,4217407.09
7,455215,2.83,11.95,6540681.93
8,560848,2.47,12.92,7903460.83
9,578988,2.59,12.8,8110764.53
10,566689,32.39,12.39,7879268.54
11,595346,2.47,12.34,8228099.19
12,636136,2.56,12.31,8766461.15
13,634245,5.06,12.63,8970652.56
14,657352,2.72,13.36,9704184.01
15,646978,47.21,13.54,9655817.49
16,575180,8.43,13.14,8838264.35
17,667057,2.62,12.9,9894333.21
18,797703,6.08,12.42,1.148472926E7
19,803399,25.79,11.75,1.54220591E7
20,732344,9.27,11.51,1.068984487E7
21,710102,41.77,11.55,1.070773329E7
22,685507,34.68,11.77,1.056571538E7
23,591051,16.07,12.0,9375128.93
