pickup_hour,abs_err_model0,abs_err_model1
0,1.4046558967926004,0.3102464632832871
1,1.4295467607078882,0.3285859692154203
2,1.7161004844144376,0.382150923072999
3,1.417019184728714,0.2782213856886599
4,1.4470308995692944,0.24614752417371966
5,1.5019789793289444,0.23060105616966667
6,1.5584692055332225,0.26339677516125337
7,1.5621242566678952,0.23731983906428822
8,2.0863033174284236,0.2595239556844492
9,1.684745296734215,0.23009904025682362
10,1.715493610811685,0.24296969966942034
11,1.7389117720086404,0.25366564554551596
12,1.8257376416702775,0.42936762168038123
13,1.7195692724578737,0.23301854957962415
14,1.8103233094546334,0.2714525351790202
15,1.6919374755561836,0.23212762152852073
16,1.79304936992733,0.3431851553909143
17,2.054471215939796,0.38770070722621186
18,1.5751170990351098,0.2416687750352264
19,1.5688767351470998,0.4053662918353562
20,1.4942764021811998,0.3269901331199106
21,1.5375080062858582,0.2715410010935474
22,1.6991250104261668,0.48121595934141176
23,1.640127678640943,0.38427334085972265
