distance_regime,pickup_lat_bin,pickup_lon_bin,trips,median_tolls,p90_tolls
long,40.64,-73.79,37917,5.33,5.33
long,40.74,-74.01,17896,0.0,5.33
long,40.77,-73.96,26463,0.0,5.33
long,40.77,-73.95,22607,0.0,5.33
long,40.8,-73.97,11414,0.0,5.33
long,40.73,-74.01,11768,0.0,5.33
long,40.75,-73.97,26606,0.0,5.33
long,40.76,-74.0,11280,0.0,5.33
long,40.77,-73.97,6255,0.0,5.33
long,40.77,-73.86,68183,5.33,5.33
long,40.64,-73.78,64267,0.0,5.33
long,40.73,-73.99,38348,0.0,5.33
long,40.75,-73.99,62227,0.0,5.33
long,40.77,-73.99,12883,0.0,5.33
long,40.79,-73.95,7052,0.0,5.33
long,40.73,-73.98,20875,0.0,5.33
long,40.74,-73.99,38770,0.0,5.33
long,40.75,-73.98,51027,0.0,5.33
long,40.77,-73.87,150905,5.33,5.33
long,40.74,-74.0,29949,0.0,5.33
long,40.74,-73.98,26942,0.0,5.33
long,40.76,-73.98,65443,0.0,5.33
long,40.76,-73.97,59798,0.0,5.33
long,40.77,-73.89,6281,5.33,5.33
long,40.78,-73.96,17254,0.0,5.33
long,40.78,-73.95,32249,0.0,5.33
long,40.65,-73.79,39617,5.33,5.33
long,40.76,-73.96,18645,0.0,5.33
long,40.78,-73.98,20659,0.0,5.33
long,40.79,-73.98,9288,0.0,5.33
long,40.79,-73.97,15570,0.0,5.33
long,40.65,-73.78,71392,0.0,5.33
long,40.75,-74.0,16209,0.0,5.33
long,40.76,-73.99,61484,0.0,5.33
long,40.77,-73.98,27292,0.0,5.33
long,40.72,-73.98,6895,0.0,0.0
medium,40.7,-73.99,6960,0.0,0.0
medium,40.71,-73.96,15552,0.0,0.0
medium,40.72,-73.98,40088,0.0,0.0
medium,40.74,-74.0,232746,0.0,0.0
medium,40.74,-73.92,8628,0.0,0.0
medium,40.75,-74.0,136219,0.0,0.0
medium,40.76,-74.0,103851,0.0,0.0
medium,40.76,-73.96,147579,0.0,0.0
medium,40.77,-73.95,154981,0.0,0.0
medium,40.8,-73.96,30743,0.0,0.0
short,40.71,-74.0,8089,0.0,0.0
short,40.77,-73.98,108032,0.0,0.0
short,40.79,-73.96,8163,0.0,0.0
long,40.7,-74.01,21711,0.0,0.0
medium,40.68,-73.98,9233,0.0,0.0
medium,40.71,-74.01,118485,0.0,0.0
medium,40.71,-73.95,7660,0.0,0.0
medium,40.72,-74.01,117440,0.0,0.0
medium,40.75,-73.97,181578,0.0,0.0
medium,40.76,-73.99,336932,0.0,0.0
medium,40.78,-73.95,201159,0.0,0.0
medium,40.81,-73.95,8816,0.0,0.0
short,40.75,-73.97,70993,0.0,0.0
short,40.76,-73.96,62859,0.0,0.0
short,40.8,-73.94,6443,0.0,0.0
medium,40.71,-74.0,28734,0.0,0.0
medium,40.77,-73.99,113428,0.0,0.0
medium,40.77,-73.97,89361,0.0,0.0
medium,40.78,-73.97,46455,0.0,0.0
medium,40.78,-73.94,9983,0.0,0.0
medium,40.79,-73.97,143717,0.0,0.0
medium,40.79,-73.95,47494,0.0,0.0
short,40.73,-74.01,27632,0.0,0.0
short,40.73,-73.98,51830,0.0,0.0
short,40.75,-73.99,204297,0.0,0.0
short,40.77,-73.95,67289,0.0,0.0
short,40.78,-73.99,11605,0.0,0.0
short,40.78,-73.98,87801,0.0,0.0
short,40.8,-73.97,26220,0.0,0.0
medium,40.77,-74.0,7327,0.0,0.0
medium,40.78,-73.96,212825,0.0,0.0
medium,40.79,-73.96,22690,0.0,0.0
medium,40.81,-73.97,5514,0.0,0.0
medium,40.81,-73.94,6910,0.0,0.0
medium,40.82,-73.96,5149,0.0,0.0
short,40.71,-74.01,27188,0.0,0.0
short,40.72,-73.99,62563,0.0,0.0
short,40.74,-73.98,109934,0.0,0.0
short,40.76,-74.0,34203,0.0,0.0
short,40.77,-73.99,43699,0.0,0.0
short,40.79,-73.94,5906,0.0,0.0
long,40.71,-74.0,9820,0.0,0.0
long,40.72,-74.0,22417,0.0,0.0
medium,40.72,-74.0,170960,0.0,0.0
medium,40.73,-74.01,88694,0.0,0.0
medium,40.73,-74.0,258640,0.0,0.0
medium,40.73,-73.98,142333,0.0,0.0
medium,40.79,-73.94,13266,0.0,0.0
medium,40.8,-73.94,13174,0.0,0.0
medium,40.82,-73.95,5307,0.0,0.0
short,40.74,-73.99,166065,0.0,0.0
short,40.75,-73.98,192937,0.0,0.0
short,40.78,-73.95,101537,0.0,0.0
short,40.79,-73.97,57438,0.0,0.0
