pickup_lat_bin,pickup_lon_bin,trips,avg_total_amount_usd
40.76,-73.97,778957,12.92
40.75,-73.99,745410,13.35
40.76,-73.98,666216,13.83
40.75,-73.98,613153,13.09
40.76,-73.99,576245,13.6
40.74,-73.99,568216,12.82
40.73,-73.99,473213,13.2
40.77,-73.96,446474,11.86
40.77,-73.98,409577,12.77
40.73,-74.0,396722,13.39
40.74,-74.0,378790,23.3
40.74,-73.98,377893,12.63
40.78,-73.96,335718,11.93
40.78,-73.95,335662,13.08
40.78,-73.98,315590,12.32
40.72,-73.99,296688,14.65
40.75,-73.97,280013,13.73
40.72,-74.0,246771,14.19
40.77,-73.95,245374,13.37
40.76,-73.96,229724,12.77
40.79,-73.97,217147,12.35
40.73,-73.98,215552,13.64
40.75,-74.0,212702,12.88
40.71,-74.01,195321,18.16
40.74,-74.01,182767,14.09
40.72,-74.01,178906,15.06
40.77,-73.99,170456,13.19
40.77,-73.87,163842,38.87
40.77,-73.97,150984,11.24
40.76,-74.0,150158,13.61
40.73,-74.01,128445,13.88
40.79,-73.98,121781,12.61
40.8,-73.97,105470,13.74
40.65,-73.78,75221,54.85
40.79,-73.95,73385,13.19
40.77,-73.86,72676,41.03
40.64,-73.78,68152,54.33
40.78,-73.97,64437,12.34
40.72,-73.98,59659,14.55
40.7,-74.01,56151,20.46
40.71,-74.02,56052,18.23
40.74,-73.97,48034,13.3
40.71,-74.0,46762,16.56
40.75,-74.01,46618,14.23
40.8,-73.96,46504,13.25
40.78,-73.99,43432,12.61
40.65,-73.79,42015,56.03
40.64,-73.79,40421,55.53
40.79,-73.96,33130,12.63
40.81,-73.96,30657,14.91
