is_weekend,pickup_hour,trips,avg_total_amount_usd
false,0,237474,16.49
false,1,158091,16.21
false,2,110152,15.87
false,3,80665,16.45
false,4,70148,18.9
false,5,91786,19.16
false,6,228038,14.99
false,7,399288,14.08
false,8,473248,14.12
false,9,447964,14.35
false,10,400838,14.41
false,11,401125,14.35
false,12,423100,14.29
false,13,419178,14.59
false,14,448695,15.17
false,15,439088,15.29
false,16,379580,15.96
false,17,459740,15.22
false,18,568467,14.7
false,19,577994,14.55
false,20,536916,14.69
false,21,522629,15.27
false,22,490348,15.59
false,23,401755,16.06
true,0,231177,15.15
true,1,196084,15.08
true,2,157135,15.21
true,3,117095,15.64
true,4,72579,16.83
true,5,35161,20.31
true,6,39671,20.13
true,7,55927,16.42
true,8,87600,13.91
true,9,131024,12.84
true,10,165851,12.68
true,11,194221,12.72
true,12,213036,12.78
true,13,215067,13.27
true,14,208657,13.89
true,15,207890,14.14
true,16,195600,14.22
true,17,207317,13.96
true,18,229236,13.65
true,19,225405,31.12
true,20,195428,14.35
true,21,187473,14.56
true,22,195159,14.98
true,23,189296,15.45
